meter_identifier,interval_start,interval_end,kWh_per_half_hour
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 00:00:00+00:00,2017-11-17 00:30:00+00:00,0.067
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 00:30:00+00:00,2017-11-17 01:00:00+00:00,0.085
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 01:00:00+00:00,2017-11-17 01:30:00+00:00,0.08
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 01:30:00+00:00,2017-11-17 02:00:00+00:00,0.096
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 02:00:00+00:00,2017-11-17 02:30:00+00:00,0.055
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 02:30:00+00:00,2017-11-17 03:00:00+00:00,0.096
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 03:00:00+00:00,2017-11-17 03:30:00+00:00,0.062
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 03:30:00+00:00,2017-11-17 04:00:00+00:00,0.085
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 04:00:00+00:00,2017-11-17 04:30:00+00:00,0.047
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 04:30:00+00:00,2017-11-17 05:00:00+00:00,0.086
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 05:00:00+00:00,2017-11-17 05:30:00+00:00,0.053
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 05:30:00+00:00,2017-11-17 06:00:00+00:00,0.12
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 06:00:00+00:00,2017-11-17 06:30:00+00:00,1.329
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 06:30:00+00:00,2017-11-17 07:00:00+00:00,0.149
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 07:00:00+00:00,2017-11-17 07:30:00+00:00,0.165
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 07:30:00+00:00,2017-11-17 08:00:00+00:00,0.121
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 08:00:00+00:00,2017-11-17 08:30:00+00:00,0.445
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 08:30:00+00:00,2017-11-17 09:00:00+00:00,0.7170000000000001
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 09:00:00+00:00,2017-11-17 09:30:00+00:00,0.8640000000000001
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 09:30:00+00:00,2017-11-17 10:00:00+00:00,0.593
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 10:00:00+00:00,2017-11-17 10:30:00+00:00,0.763
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 10:30:00+00:00,2017-11-17 11:00:00+00:00,1.18
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-17 11:00:00+00:00,2017-11-17 11:30:00+00:00,0.136
