meter_identifier,interval_start,interval_end,kWh_per_half_hour
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-16 23:00:00+00:00,2017-11-16 23:30:00+00:00,0.54
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-16 23:30:00+00:00,2017-11-17 00:00:00+00:00,0.47600000000000003
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 00:00:00+00:00,2017-11-16 00:30:00+00:00,0.39899999999999997
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 00:30:00+00:00,2017-11-16 01:00:00+00:00,0.423
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 01:00:00+00:00,2017-11-16 01:30:00+00:00,0.46799999999999997
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 01:30:00+00:00,2017-11-16 02:00:00+00:00,0.392
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 02:00:00+00:00,2017-11-16 02:30:00+00:00,0.44799999999999995
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 02:30:00+00:00,2017-11-16 03:00:00+00:00,0.43
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 03:00:00+00:00,2017-11-16 03:30:00+00:00,0.4
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 03:30:00+00:00,2017-11-16 04:00:00+00:00,0.47600000000000003
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 04:00:00+00:00,2017-11-16 04:30:00+00:00,0.385
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 04:30:00+00:00,2017-11-16 05:00:00+00:00,0.445
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 05:00:00+00:00,2017-11-16 05:30:00+00:00,0.434
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 05:30:00+00:00,2017-11-16 06:00:00+00:00,0.41600000000000004
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 06:00:00+00:00,2017-11-16 06:30:00+00:00,0.475
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 06:30:00+00:00,2017-11-16 07:00:00+00:00,0.47100000000000003
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 07:00:00+00:00,2017-11-16 07:30:00+00:00,0.6609999999999999
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 07:30:00+00:00,2017-11-16 08:00:00+00:00,0.266
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 08:00:00+00:00,2017-11-16 08:30:00+00:00,0.048
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 08:30:00+00:00,2017-11-16 09:00:00+00:00,0.03
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 09:00:00+00:00,2017-11-16 09:30:00+00:00,0.035
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 09:30:00+00:00,2017-11-16 10:00:00+00:00,0.006
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 10:00:00+00:00,2017-11-16 10:30:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 10:30:00+00:00,2017-11-16 11:00:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 11:00:00+00:00,2017-11-16 11:30:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 11:30:00+00:00,2017-11-16 12:00:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 12:00:00+00:00,2017-11-16 12:30:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 12:30:00+00:00,2017-11-16 13:00:00+00:00,0.001
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 13:00:00+00:00,2017-11-16 13:30:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 13:30:00+00:00,2017-11-16 14:00:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 14:00:00+00:00,2017-11-16 14:30:00+00:00,0.0
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-16 14:30:00+00:00,2017-11-16 15:00:00+00:00,0.0
