meter_identifier,interval_start,interval_end,kWh_per_half_hour
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 17:30:00+00:00,2017-11-19 18:00:00+00:00,0.5
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 18:00:00+00:00,2017-11-19 18:30:00+00:00,0.629
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 18:30:00+00:00,2017-11-19 19:00:00+00:00,0.619
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 19:00:00+00:00,2017-11-19 19:30:00+00:00,1.025
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 19:30:00+00:00,2017-11-19 20:00:00+00:00,1.042
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 20:00:00+00:00,2017-11-19 20:30:00+00:00,1.685
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 20:30:00+00:00,2017-11-19 21:00:00+00:00,0.759
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 21:00:00+00:00,2017-11-19 21:30:00+00:00,0.516
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 21:30:00+00:00,2017-11-19 22:00:00+00:00,0.38299999999999995
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 22:00:00+00:00,2017-11-19 22:30:00+00:00,0.9420000000000001
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 22:30:00+00:00,2017-11-19 23:00:00+00:00,0.8240000000000001
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 23:00:00+00:00,2017-11-19 23:30:00+00:00,0.726
0c0eed68d45a3c3ed02b33649c8c151f10306a50,2017-11-19 23:30:00+00:00,2017-11-20 00:00:00+00:00,0.415
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 08:00:00+00:00,2017-11-19 08:30:00+00:00,0.065
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 08:30:00+00:00,2017-11-19 09:00:00+00:00,0.27899999999999997
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 09:00:00+00:00,2017-11-19 09:30:00+00:00,0.091
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 09:30:00+00:00,2017-11-19 10:00:00+00:00,0.151
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 10:00:00+00:00,2017-11-19 10:30:00+00:00,0.063
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 10:30:00+00:00,2017-11-19 11:00:00+00:00,0.055999999999999994
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 11:00:00+00:00,2017-11-19 11:30:00+00:00,0.065
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 11:30:00+00:00,2017-11-19 12:00:00+00:00,0.042
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 12:00:00+00:00,2017-11-19 12:30:00+00:00,0.066
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 12:30:00+00:00,2017-11-19 13:00:00+00:00,0.04
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 13:00:00+00:00,2017-11-19 13:30:00+00:00,0.062
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 13:30:00+00:00,2017-11-19 14:00:00+00:00,0.081
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 14:00:00+00:00,2017-11-19 14:30:00+00:00,0.131
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 14:30:00+00:00,2017-11-19 15:00:00+00:00,0.16399999999999998
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 15:00:00+00:00,2017-11-19 15:30:00+00:00,0.081
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 15:30:00+00:00,2017-11-19 16:00:00+00:00,0.113
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 16:00:00+00:00,2017-11-19 16:30:00+00:00,0.14800000000000002
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 16:30:00+00:00,2017-11-19 17:00:00+00:00,0.146
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 17:00:00+00:00,2017-11-19 17:30:00+00:00,0.099
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 17:30:00+00:00,2017-11-19 18:00:00+00:00,0.2
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 18:00:00+00:00,2017-11-19 18:30:00+00:00,0.131
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 18:30:00+00:00,2017-11-19 19:00:00+00:00,0.12300000000000001
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 19:00:00+00:00,2017-11-19 19:30:00+00:00,0.115
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 19:30:00+00:00,2017-11-19 20:00:00+00:00,0.09699999999999999
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 20:00:00+00:00,2017-11-19 20:30:00+00:00,0.113
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 20:30:00+00:00,2017-11-19 21:00:00+00:00,0.12300000000000001
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 21:00:00+00:00,2017-11-19 21:30:00+00:00,0.127
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 21:30:00+00:00,2017-11-19 22:00:00+00:00,0.281
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 22:00:00+00:00,2017-11-19 22:30:00+00:00,0.055999999999999994
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 22:30:00+00:00,2017-11-19 23:00:00+00:00,0.07400000000000001
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 23:00:00+00:00,2017-11-19 23:30:00+00:00,0.045
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 23:30:00+00:00,2017-11-20 00:00:00+00:00,0.069
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 05:30:00+00:00,2017-11-19 06:00:00+00:00,0.18100000000000002
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 06:00:00+00:00,2017-11-19 06:30:00+00:00,0.18600000000000003
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 06:30:00+00:00,2017-11-19 07:00:00+00:00,0.13699999999999998
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 07:00:00+00:00,2017-11-19 07:30:00+00:00,0.136
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 07:30:00+00:00,2017-11-19 08:00:00+00:00,0.131
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 08:00:00+00:00,2017-11-19 08:30:00+00:00,0.155
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 08:30:00+00:00,2017-11-19 09:00:00+00:00,0.09300000000000001
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 09:00:00+00:00,2017-11-19 09:30:00+00:00,0.07400000000000001
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 09:30:00+00:00,2017-11-19 10:00:00+00:00,0.19699999999999998
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 10:00:00+00:00,2017-11-19 10:30:00+00:00,0.11900000000000001
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 10:30:00+00:00,2017-11-19 11:00:00+00:00,0.113
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 11:00:00+00:00,2017-11-19 11:30:00+00:00,0.21100000000000002
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 11:30:00+00:00,2017-11-19 12:00:00+00:00,0.22
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 12:00:00+00:00,2017-11-19 12:30:00+00:00,0.376
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 12:30:00+00:00,2017-11-19 13:00:00+00:00,0.22699999999999998
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 13:00:00+00:00,2017-11-19 13:30:00+00:00,0.20800000000000002
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 13:30:00+00:00,2017-11-19 14:00:00+00:00,0.23800000000000002
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 14:00:00+00:00,2017-11-19 14:30:00+00:00,0.175
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 14:30:00+00:00,2017-11-19 15:00:00+00:00,0.366
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 15:00:00+00:00,2017-11-19 15:30:00+00:00,0.721
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 15:30:00+00:00,2017-11-19 16:00:00+00:00,0.233
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 16:00:00+00:00,2017-11-19 16:30:00+00:00,0.17800000000000002
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 16:30:00+00:00,2017-11-19 17:00:00+00:00,0.191
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 17:00:00+00:00,2017-11-19 17:30:00+00:00,0.309
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 17:30:00+00:00,2017-11-19 18:00:00+00:00,0.33
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 18:00:00+00:00,2017-11-19 18:30:00+00:00,0.337
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 18:30:00+00:00,2017-11-19 19:00:00+00:00,0.22899999999999998
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 19:00:00+00:00,2017-11-19 19:30:00+00:00,0.24100000000000002
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 19:30:00+00:00,2017-11-19 20:00:00+00:00,0.29
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 20:00:00+00:00,2017-11-19 20:30:00+00:00,0.977
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 20:30:00+00:00,2017-11-19 21:00:00+00:00,0.297
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 21:00:00+00:00,2017-11-19 21:30:00+00:00,0.8009999999999999
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 21:30:00+00:00,2017-11-19 22:00:00+00:00,0.445
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 22:00:00+00:00,2017-11-19 22:30:00+00:00,0.22399999999999998
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 22:30:00+00:00,2017-11-19 23:00:00+00:00,0.19899999999999998
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 23:00:00+00:00,2017-11-19 23:30:00+00:00,0.155
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 23:30:00+00:00,2017-11-20 00:00:00+00:00,0.14800000000000002
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 00:00:00+00:00,2017-11-19 00:30:00+00:00,0.098
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 00:30:00+00:00,2017-11-19 01:00:00+00:00,0.10099999999999999
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 01:00:00+00:00,2017-11-19 01:30:00+00:00,0.098
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 01:30:00+00:00,2017-11-19 02:00:00+00:00,0.098
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 02:00:00+00:00,2017-11-19 02:30:00+00:00,0.094
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 02:30:00+00:00,2017-11-19 03:00:00+00:00,0.08900000000000001
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 03:00:00+00:00,2017-11-19 03:30:00+00:00,0.098
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 03:30:00+00:00,2017-11-19 04:00:00+00:00,0.105
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 04:00:00+00:00,2017-11-19 04:30:00+00:00,0.09699999999999999
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 04:30:00+00:00,2017-11-19 05:00:00+00:00,0.09699999999999999
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 05:00:00+00:00,2017-11-19 05:30:00+00:00,0.102
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 05:30:00+00:00,2017-11-19 06:00:00+00:00,0.092
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 06:00:00+00:00,2017-11-19 06:30:00+00:00,0.091
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 06:30:00+00:00,2017-11-19 07:00:00+00:00,0.09699999999999999
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 07:00:00+00:00,2017-11-19 07:30:00+00:00,0.099
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 07:30:00+00:00,2017-11-19 08:00:00+00:00,0.098
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 08:00:00+00:00,2017-11-19 08:30:00+00:00,0.071
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 08:30:00+00:00,2017-11-19 09:00:00+00:00,0.166
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 09:00:00+00:00,2017-11-19 09:30:00+00:00,0.013999999999999999
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 09:30:00+00:00,2017-11-19 10:00:00+00:00,0.001
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 10:00:00+00:00,2017-11-19 10:30:00+00:00,0.0
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 10:30:00+00:00,2017-11-19 11:00:00+00:00,0.299
454ee0b9dc289b681a84de1aff38e12ea290746d,2017-11-19 11:00:00+00:00,2017-11-19 11:30:00+00:00,0.42100000000000004
