meter_identifier,interval_start,interval_end,kWh_per_half_hour
323230be44c27588827ff2714aaf3c13dd3c8ba6,2017-11-13 00:00:00+00:00,2017-11-13 00:30:00+00:00,0.064
323230be44c27588827ff2714aaf3c13dd3c8ba6,2017-11-13 00:30:00+00:00,2017-11-13 01:00:00+00:00,0.04
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 00:00:00+00:00,2017-11-13 00:30:00+00:00,0.218
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 00:30:00+00:00,2017-11-13 01:00:00+00:00,0.201
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 01:00:00+00:00,2017-11-13 01:30:00+00:00,0.21899999999999997
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 01:30:00+00:00,2017-11-13 02:00:00+00:00,0.237
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 02:00:00+00:00,2017-11-13 02:30:00+00:00,0.19
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 02:30:00+00:00,2017-11-13 03:00:00+00:00,0.24
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 03:00:00+00:00,2017-11-13 03:30:00+00:00,0.21600000000000003
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 03:30:00+00:00,2017-11-13 04:00:00+00:00,0.222
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 04:00:00+00:00,2017-11-13 04:30:00+00:00,0.23800000000000002
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 04:30:00+00:00,2017-11-13 05:00:00+00:00,0.20800000000000002
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 05:00:00+00:00,2017-11-13 05:30:00+00:00,0.20199999999999999
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 05:30:00+00:00,2017-11-13 06:00:00+00:00,0.237
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 06:00:00+00:00,2017-11-13 06:30:00+00:00,0.264
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 06:30:00+00:00,2017-11-13 07:00:00+00:00,0.317
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 07:00:00+00:00,2017-11-13 07:30:00+00:00,1.676
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 07:30:00+00:00,2017-11-13 08:00:00+00:00,1.4880000000000002
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 08:00:00+00:00,2017-11-13 08:30:00+00:00,2.012
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 08:30:00+00:00,2017-11-13 09:00:00+00:00,1.4480000000000002
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 09:00:00+00:00,2017-11-13 09:30:00+00:00,1.635
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 09:30:00+00:00,2017-11-13 10:00:00+00:00,1.764
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 10:00:00+00:00,2017-11-13 10:30:00+00:00,1.618
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 10:30:00+00:00,2017-11-13 11:00:00+00:00,1.09
7464f9ec967c61952fed8650c92c951d1b1686ea,2017-11-13 11:00:00+00:00,2017-11-13 11:30:00+00:00,0.627
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 11:30:00+00:00,2017-11-13 12:00:00+00:00,0.122
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 12:00:00+00:00,2017-11-13 12:30:00+00:00,0.046
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 12:30:00+00:00,2017-11-13 13:00:00+00:00,0.063
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 13:00:00+00:00,2017-11-13 13:30:00+00:00,0.054000000000000006
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 13:30:00+00:00,2017-11-13 14:00:00+00:00,0.055
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 14:00:00+00:00,2017-11-13 14:30:00+00:00,0.066
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 14:30:00+00:00,2017-11-13 15:00:00+00:00,0.055999999999999994
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 15:00:00+00:00,2017-11-13 15:30:00+00:00,0.11599999999999999
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 15:30:00+00:00,2017-11-13 16:00:00+00:00,0.14800000000000002
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 16:00:00+00:00,2017-11-13 16:30:00+00:00,0.184
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 16:30:00+00:00,2017-11-13 17:00:00+00:00,0.128
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 17:00:00+00:00,2017-11-13 17:30:00+00:00,0.15
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 17:30:00+00:00,2017-11-13 18:00:00+00:00,0.15
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 18:00:00+00:00,2017-11-13 18:30:00+00:00,0.213
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 18:30:00+00:00,2017-11-13 19:00:00+00:00,0.506
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 19:00:00+00:00,2017-11-13 19:30:00+00:00,0.272
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 19:30:00+00:00,2017-11-13 20:00:00+00:00,0.201
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 20:00:00+00:00,2017-11-13 20:30:00+00:00,0.228
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 20:30:00+00:00,2017-11-13 21:00:00+00:00,0.24100000000000002
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 21:00:00+00:00,2017-11-13 21:30:00+00:00,0.278
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 21:30:00+00:00,2017-11-13 22:00:00+00:00,0.265
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 22:00:00+00:00,2017-11-13 22:30:00+00:00,0.172
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 22:30:00+00:00,2017-11-13 23:00:00+00:00,0.2
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 23:00:00+00:00,2017-11-13 23:30:00+00:00,0.154
c629048e1348120adfcdf91d4c63f36f16c5fbfe,2017-11-13 23:30:00+00:00,2017-11-14 00:00:00+00:00,0.132
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 18:00:00+00:00,2017-11-13 18:30:00+00:00,0.125
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 18:30:00+00:00,2017-11-13 19:00:00+00:00,0.152
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 19:00:00+00:00,2017-11-13 19:30:00+00:00,0.266
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 19:30:00+00:00,2017-11-13 20:00:00+00:00,0.124
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 20:00:00+00:00,2017-11-13 20:30:00+00:00,0.095
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 20:30:00+00:00,2017-11-13 21:00:00+00:00,0.10099999999999999
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 21:00:00+00:00,2017-11-13 21:30:00+00:00,0.073
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 21:30:00+00:00,2017-11-13 22:00:00+00:00,0.085
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 22:00:00+00:00,2017-11-13 22:30:00+00:00,0.057
dbbb4c5ac093c4d690ae12fabc433f2dbbfc8a9c,2017-11-13 22:30:00+00:00,2017-11-13 23:00:00+00:00,0.05
