meter_identifier,interval_start,interval_end,kWh_per_half_hour
1638c44ee1f376e8558ca81e8f45536e9f17cf0c,2017-11-20 18:30:00+00:00,2017-11-20 19:00:00+00:00,0.37
1925b933f215a3c69fe461bea90312cd670542d0,2017-11-20 22:30:00+00:00,2017-11-20 23:00:00+00:00,0.71
37260cf0330f7b974e6344a2a232bb0a6d9d8756,2017-11-20 05:00:00+00:00,2017-11-20 05:30:00+00:00,0.102
3fbe79da3e572dbbab9d71ee2b5ab00576f548a1,2017-11-20 06:00:00+00:00,2017-11-20 06:30:00+00:00,0.24
453d8e885c1fe40cedc29bc722d77b213d8fc160,2017-11-20 11:00:00+00:00,2017-11-20 11:30:00+00:00,0.55
756e73a4be51d4fa80a6b8adc433461233074655,2017-11-20 08:00:00+00:00,2017-11-20 08:30:00+00:00,0.066
7e8d99c4d62f767143b7056fb0c4ac8b43abf9ac,2017-11-20 20:00:00+00:00,2017-11-20 20:30:00+00:00,0.106
b7b79c6921324272b34a21e4b9c330a17eab3400,2017-11-20 22:00:00+00:00,2017-11-20 22:30:00+00:00,0.155
cfca6e1c47b87a7d9d04815b002cbecccb4f57b8,2017-11-20 21:00:00+00:00,2017-11-20 21:30:00+00:00,0.285
