meter_identifier,interval_start,interval_end,kWh_per_half_hour
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 00:00:00+00:00,2017-11-10 00:30:00+00:00,0.095
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 00:30:00+00:00,2017-11-10 01:00:00+00:00,0.077
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 01:00:00+00:00,2017-11-10 01:30:00+00:00,0.078
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 01:30:00+00:00,2017-11-10 02:00:00+00:00,0.067
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 02:00:00+00:00,2017-11-10 02:30:00+00:00,0.073
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 02:30:00+00:00,2017-11-10 03:00:00+00:00,0.077
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 03:00:00+00:00,2017-11-10 03:30:00+00:00,0.084
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 03:30:00+00:00,2017-11-10 04:00:00+00:00,0.067
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 04:00:00+00:00,2017-11-10 04:30:00+00:00,0.068
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 04:30:00+00:00,2017-11-10 05:00:00+00:00,0.07400000000000001
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 05:00:00+00:00,2017-11-10 05:30:00+00:00,0.096
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 05:30:00+00:00,2017-11-10 06:00:00+00:00,0.72
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 06:00:00+00:00,2017-11-10 06:30:00+00:00,0.9390000000000001
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 06:30:00+00:00,2017-11-10 07:00:00+00:00,0.217
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 07:00:00+00:00,2017-11-10 07:30:00+00:00,1.526
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 07:30:00+00:00,2017-11-10 08:00:00+00:00,0.134
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 08:00:00+00:00,2017-11-10 08:30:00+00:00,0.09699999999999999
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 08:30:00+00:00,2017-11-10 09:00:00+00:00,0.977
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 09:00:00+00:00,2017-11-10 09:30:00+00:00,0.179
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 09:30:00+00:00,2017-11-10 10:00:00+00:00,0.094
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 10:00:00+00:00,2017-11-10 10:30:00+00:00,0.42700000000000005
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 10:30:00+00:00,2017-11-10 11:00:00+00:00,0.256
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 11:00:00+00:00,2017-11-10 11:30:00+00:00,0.128
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 11:30:00+00:00,2017-11-10 12:00:00+00:00,0.065
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 12:00:00+00:00,2017-11-10 12:30:00+00:00,0.092
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 12:30:00+00:00,2017-11-10 13:00:00+00:00,0.053
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 13:00:00+00:00,2017-11-10 13:30:00+00:00,0.094
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 13:30:00+00:00,2017-11-10 14:00:00+00:00,0.156
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 14:00:00+00:00,2017-11-10 14:30:00+00:00,0.273
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 14:30:00+00:00,2017-11-10 15:00:00+00:00,0.315
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 15:00:00+00:00,2017-11-10 15:30:00+00:00,0.276
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 15:30:00+00:00,2017-11-10 16:00:00+00:00,0.162
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 16:00:00+00:00,2017-11-10 16:30:00+00:00,0.252
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 16:30:00+00:00,2017-11-10 17:00:00+00:00,0.336
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 17:00:00+00:00,2017-11-10 17:30:00+00:00,0.19899999999999998
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 17:30:00+00:00,2017-11-10 18:00:00+00:00,0.716
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 18:00:00+00:00,2017-11-10 18:30:00+00:00,0.41
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 18:30:00+00:00,2017-11-10 19:00:00+00:00,0.847
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 19:00:00+00:00,2017-11-10 19:30:00+00:00,0.233
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 19:30:00+00:00,2017-11-10 20:00:00+00:00,1.298
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 20:00:00+00:00,2017-11-10 20:30:00+00:00,0.20199999999999999
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 20:30:00+00:00,2017-11-10 21:00:00+00:00,0.21100000000000002
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 21:00:00+00:00,2017-11-10 21:30:00+00:00,0.22899999999999998
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 21:30:00+00:00,2017-11-10 22:00:00+00:00,0.223
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 22:00:00+00:00,2017-11-10 22:30:00+00:00,0.17600000000000002
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 22:30:00+00:00,2017-11-10 23:00:00+00:00,0.188
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 23:00:00+00:00,2017-11-10 23:30:00+00:00,0.16699999999999998
059c044524dd693a0e1430aaa9c777f31fedf224,2017-11-10 23:30:00+00:00,2017-11-11 00:00:00+00:00,0.16399999999999998
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 00:00:00+00:00,2017-11-10 00:30:00+00:00,0.07200000000000001
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 00:30:00+00:00,2017-11-10 01:00:00+00:00,0.049
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 01:00:00+00:00,2017-11-10 01:30:00+00:00,0.04
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 01:30:00+00:00,2017-11-10 02:00:00+00:00,0.07400000000000001
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 02:00:00+00:00,2017-11-10 02:30:00+00:00,0.07400000000000001
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 02:30:00+00:00,2017-11-10 03:00:00+00:00,0.027999999999999997
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 03:00:00+00:00,2017-11-10 03:30:00+00:00,0.026000000000000002
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 03:30:00+00:00,2017-11-10 04:00:00+00:00,0.024
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 04:00:00+00:00,2017-11-10 04:30:00+00:00,0.023
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 04:30:00+00:00,2017-11-10 05:00:00+00:00,0.023
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 05:00:00+00:00,2017-11-10 05:30:00+00:00,0.026000000000000002
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 05:30:00+00:00,2017-11-10 06:00:00+00:00,0.068
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 06:00:00+00:00,2017-11-10 06:30:00+00:00,0.064
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 06:30:00+00:00,2017-11-10 07:00:00+00:00,0.092
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 07:00:00+00:00,2017-11-10 07:30:00+00:00,0.025
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 07:30:00+00:00,2017-11-10 08:00:00+00:00,0.024
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 08:00:00+00:00,2017-11-10 08:30:00+00:00,0.024
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 08:30:00+00:00,2017-11-10 09:00:00+00:00,0.037000000000000005
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 09:00:00+00:00,2017-11-10 09:30:00+00:00,0.065
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 09:30:00+00:00,2017-11-10 10:00:00+00:00,0.057
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 10:00:00+00:00,2017-11-10 10:30:00+00:00,0.025
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 10:30:00+00:00,2017-11-10 11:00:00+00:00,0.027000000000000003
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 11:00:00+00:00,2017-11-10 11:30:00+00:00,0.026000000000000002
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 11:30:00+00:00,2017-11-10 12:00:00+00:00,0.263
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 12:00:00+00:00,2017-11-10 12:30:00+00:00,1.224
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 12:30:00+00:00,2017-11-10 13:00:00+00:00,1.3019999999999998
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 13:00:00+00:00,2017-11-10 13:30:00+00:00,0.091
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 13:30:00+00:00,2017-11-10 14:00:00+00:00,0.105
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 14:00:00+00:00,2017-11-10 14:30:00+00:00,0.028999999999999998
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 14:30:00+00:00,2017-11-10 15:00:00+00:00,0.076
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 15:00:00+00:00,2017-11-10 15:30:00+00:00,0.789
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 15:30:00+00:00,2017-11-10 16:00:00+00:00,0.18899999999999997
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 16:00:00+00:00,2017-11-10 16:30:00+00:00,0.271
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 16:30:00+00:00,2017-11-10 17:00:00+00:00,0.688
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 17:00:00+00:00,2017-11-10 17:30:00+00:00,0.45799999999999996
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 17:30:00+00:00,2017-11-10 18:00:00+00:00,0.27899999999999997
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 18:00:00+00:00,2017-11-10 18:30:00+00:00,0.094
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 18:30:00+00:00,2017-11-10 19:00:00+00:00,0.191
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 19:00:00+00:00,2017-11-10 19:30:00+00:00,0.177
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 19:30:00+00:00,2017-11-10 20:00:00+00:00,0.392
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 20:00:00+00:00,2017-11-10 20:30:00+00:00,0.258
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 20:30:00+00:00,2017-11-10 21:00:00+00:00,0.23399999999999999
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 21:00:00+00:00,2017-11-10 21:30:00+00:00,0.215
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 21:30:00+00:00,2017-11-10 22:00:00+00:00,0.244
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 22:00:00+00:00,2017-11-10 22:30:00+00:00,0.187
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 22:30:00+00:00,2017-11-10 23:00:00+00:00,0.099
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 23:00:00+00:00,2017-11-10 23:30:00+00:00,0.13
0e6153df976bedb253e76ba8160c426dfe1d77e3,2017-11-10 23:30:00+00:00,2017-11-11 00:00:00+00:00,0.165
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 00:00:00+00:00,2017-11-10 00:30:00+00:00,0.179
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 00:30:00+00:00,2017-11-10 01:00:00+00:00,0.162
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 01:00:00+00:00,2017-11-10 01:30:00+00:00,0.165
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 01:30:00+00:00,2017-11-10 02:00:00+00:00,0.18600000000000003
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 02:00:00+00:00,2017-11-10 02:30:00+00:00,0.177
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 02:30:00+00:00,2017-11-10 03:00:00+00:00,0.185
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 03:00:00+00:00,2017-11-10 03:30:00+00:00,0.192
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 03:30:00+00:00,2017-11-10 04:00:00+00:00,0.195
121e46681310a8bf8a5adeb1fc7dc13ea148abb9,2017-11-10 04:00:00+00:00,2017-11-10 04:30:00+00:00,0.157
