meter_identifier,interval_start,interval_end,kWh_per_half_hour
11a946889d5206bc0f272945546bdc08c2546fe7,2017-11-19 04:30:00+00:00,2017-11-19 05:00:00+00:00,0.055
29faa21b1a4b9d754b2065305ae3e933ee9ce3e8,2017-11-19 02:30:00+00:00,2017-11-19 03:00:00+00:00,0.098
8d1ce28a9b4987ca865c916267854df63e43ae7b,2017-11-19 02:00:00+00:00,2017-11-19 02:30:00+00:00,0.078
a0ed9f77e25481b821f2508e575a8d268807725d,2017-11-19 01:30:00+00:00,2017-11-19 02:00:00+00:00,0.064
bcc8eeb1ee427aa5f9f85a10e61a959bd9e525d9,2017-11-19 03:00:00+00:00,2017-11-19 03:30:00+00:00,0.215
