meter_identifier,interval_start,interval_end,kWh_per_half_hour
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 00:00:00+00:00,2017-11-20 00:30:00+00:00,0.285
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 00:30:00+00:00,2017-11-20 01:00:00+00:00,0.23600000000000002
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 01:00:00+00:00,2017-11-20 01:30:00+00:00,0.209
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 01:30:00+00:00,2017-11-20 02:00:00+00:00,0.235
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 02:00:00+00:00,2017-11-20 02:30:00+00:00,0.191
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 02:30:00+00:00,2017-11-20 03:00:00+00:00,0.23199999999999998
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 03:00:00+00:00,2017-11-20 03:30:00+00:00,0.254
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 03:30:00+00:00,2017-11-20 04:00:00+00:00,0.191
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 04:00:00+00:00,2017-11-20 04:30:00+00:00,0.17
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 04:30:00+00:00,2017-11-20 05:00:00+00:00,0.23600000000000002
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 05:00:00+00:00,2017-11-20 05:30:00+00:00,0.11900000000000001
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 05:30:00+00:00,2017-11-20 06:00:00+00:00,0.066
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 06:00:00+00:00,2017-11-20 06:30:00+00:00,0.067
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 06:30:00+00:00,2017-11-20 07:00:00+00:00,0.076
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 07:00:00+00:00,2017-11-20 07:30:00+00:00,0.091
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 07:30:00+00:00,2017-11-20 08:00:00+00:00,0.08199999999999999
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 08:00:00+00:00,2017-11-20 08:30:00+00:00,0.035
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 08:30:00+00:00,2017-11-20 09:00:00+00:00,0.036000000000000004
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 09:00:00+00:00,2017-11-20 09:30:00+00:00,0.049
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 09:30:00+00:00,2017-11-20 10:00:00+00:00,0.084
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 10:00:00+00:00,2017-11-20 10:30:00+00:00,0.073
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 10:30:00+00:00,2017-11-20 11:00:00+00:00,0.034
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 11:00:00+00:00,2017-11-20 11:30:00+00:00,0.043
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 11:30:00+00:00,2017-11-20 12:00:00+00:00,0.032
04ee234be44a96d1e6c7557c956dce0d3756082e,2017-11-20 12:00:00+00:00,2017-11-20 12:30:00+00:00,0.084
