meter_identifier,interval_start,interval_end,kWh_per_half_hour
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 00:00:00+00:00,2017-11-22 00:30:00+00:00,0.37
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 00:30:00+00:00,2017-11-22 01:00:00+00:00,0.078
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 01:00:00+00:00,2017-11-22 01:30:00+00:00,0.071
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 01:30:00+00:00,2017-11-22 02:00:00+00:00,0.08199999999999999
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 02:00:00+00:00,2017-11-22 02:30:00+00:00,0.061
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 02:30:00+00:00,2017-11-22 03:00:00+00:00,0.08199999999999999
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 03:00:00+00:00,2017-11-22 03:30:00+00:00,0.064
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 03:30:00+00:00,2017-11-22 04:00:00+00:00,0.08
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 04:00:00+00:00,2017-11-22 04:30:00+00:00,0.071
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 04:30:00+00:00,2017-11-22 05:00:00+00:00,0.075
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 05:00:00+00:00,2017-11-22 05:30:00+00:00,0.081
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 05:30:00+00:00,2017-11-22 06:00:00+00:00,0.07
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 06:00:00+00:00,2017-11-22 06:30:00+00:00,0.111
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 06:30:00+00:00,2017-11-22 07:00:00+00:00,0.252
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 07:00:00+00:00,2017-11-22 07:30:00+00:00,0.193
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 07:30:00+00:00,2017-11-22 08:00:00+00:00,0.318
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 08:00:00+00:00,2017-11-22 08:30:00+00:00,0.152
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 08:30:00+00:00,2017-11-22 09:00:00+00:00,0.085
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 09:00:00+00:00,2017-11-22 09:30:00+00:00,0.085
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 09:30:00+00:00,2017-11-22 10:00:00+00:00,0.075
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 10:00:00+00:00,2017-11-22 10:30:00+00:00,0.076
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 10:30:00+00:00,2017-11-22 11:00:00+00:00,0.08199999999999999
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 11:00:00+00:00,2017-11-22 11:30:00+00:00,0.084
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 11:30:00+00:00,2017-11-22 12:00:00+00:00,0.08900000000000001
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 12:00:00+00:00,2017-11-22 12:30:00+00:00,0.085
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 12:30:00+00:00,2017-11-22 13:00:00+00:00,0.07400000000000001
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 13:00:00+00:00,2017-11-22 13:30:00+00:00,0.079
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 13:30:00+00:00,2017-11-22 14:00:00+00:00,0.083
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 14:00:00+00:00,2017-11-22 14:30:00+00:00,0.086
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 14:30:00+00:00,2017-11-22 15:00:00+00:00,0.08
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 15:00:00+00:00,2017-11-22 15:30:00+00:00,0.075
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 15:30:00+00:00,2017-11-22 16:00:00+00:00,0.076
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 16:00:00+00:00,2017-11-22 16:30:00+00:00,0.083
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 16:30:00+00:00,2017-11-22 17:00:00+00:00,0.816
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 17:00:00+00:00,2017-11-22 17:30:00+00:00,1.9140000000000001
3c73f89aea06f1357028a2f5d647908d512041c5,2017-11-22 17:30:00+00:00,2017-11-22 18:00:00+00:00,0.7879999999999999
