meter_identifier,interval_start,interval_end,kWh_per_half_hour
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 00:00:00+00:00,2017-11-17 00:30:00+00:00,0.075
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 00:30:00+00:00,2017-11-17 01:00:00+00:00,0.095
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 01:00:00+00:00,2017-11-17 01:30:00+00:00,0.113
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 01:30:00+00:00,2017-11-17 02:00:00+00:00,0.102
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 02:00:00+00:00,2017-11-17 02:30:00+00:00,0.098
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 02:30:00+00:00,2017-11-17 03:00:00+00:00,0.134
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 03:00:00+00:00,2017-11-17 03:30:00+00:00,0.125
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 03:30:00+00:00,2017-11-17 04:00:00+00:00,0.152
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 04:00:00+00:00,2017-11-17 04:30:00+00:00,0.201
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 04:30:00+00:00,2017-11-17 05:00:00+00:00,0.165
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 05:00:00+00:00,2017-11-17 05:30:00+00:00,0.16399999999999998
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 05:30:00+00:00,2017-11-17 06:00:00+00:00,0.264
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 06:00:00+00:00,2017-11-17 06:30:00+00:00,0.2
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 06:30:00+00:00,2017-11-17 07:00:00+00:00,0.187
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 07:00:00+00:00,2017-11-17 07:30:00+00:00,0.252
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 07:30:00+00:00,2017-11-17 08:00:00+00:00,0.28
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 08:00:00+00:00,2017-11-17 08:30:00+00:00,0.135
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 08:30:00+00:00,2017-11-17 09:00:00+00:00,0.161
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 09:00:00+00:00,2017-11-17 09:30:00+00:00,0.069
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 09:30:00+00:00,2017-11-17 10:00:00+00:00,0.33
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 10:00:00+00:00,2017-11-17 10:30:00+00:00,0.038
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 10:30:00+00:00,2017-11-17 11:00:00+00:00,0.012
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 11:00:00+00:00,2017-11-17 11:30:00+00:00,0.004
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 11:30:00+00:00,2017-11-17 12:00:00+00:00,0.0
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 12:00:00+00:00,2017-11-17 12:30:00+00:00,0.059000000000000004
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 12:30:00+00:00,2017-11-17 13:00:00+00:00,0.0
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 13:00:00+00:00,2017-11-17 13:30:00+00:00,0.024
04b7dc0acd6965dfec6a7272403d5659746ca370,2017-11-17 13:30:00+00:00,2017-11-17 14:00:00+00:00,0.299
